2,3,7,4,0,0,0,0,1,4,1,5,6,7,1,0,9,2,0.01,0.07,0.13,0.1,0.15,0.09,0.1,0.07,1,0.21,0.09,0.02,0.03,0.07,0.28,1,0.18,0.05,0.04,0.01,0.01,0,0,1
26,38,35,37,35,28,22,21,12,12,19,23,22,15,22,27,27,26,1,0.09,0.17,0.05,0.11,0.02,0.08,0.08,0.39,0.13,0.01,0,0,0,0,1,0.26,0.13,0.18,0.15,0.17,0.2,0.09,1
34,6,8,0,0,0,0,3,11,14,1,12,9,4,4,0,0,2,1,0.02,0.02,0.06,0.09,0.04,0.02,0.01,0,0,0.01,0.01,0.01,0,0,1,0.09,0.05,0.04,0.02,0.01,0.01,0.01,1
0,9,7,21,34,11,0,1,1,1,16,13,25,16,4,2,2,2,0.08,0.3,0.23,0.35,1,0.51,0.08,0.43,0.76,0.2,0.07,0.02,0,0,0,1,0.21,0.06,0.12,0.04,0.06,0.06,0.03,1
145,131,113,118,110,117,133,29,64,80,73,90,96,85,82,66,82,67,0.07,0.17,0.68,0.12,0.09,0.12,0.12,0.14,1,0.13,0.08,0.06,0.04,0.07,0.06,1,0.2,0.12,0.07,0.03,0.01,0,0,1
175,197,201,163,162,157,165,143,111,119,121,104,120,124,121,89,61,150,0,0.3,0.77,0.95,0.83,1,0.87,0.58,0.36,0.16,0.12,0.11,0.07,0.04,0.01,1,0.34,0.33,0.31,0.18,0.04,0.03,0.02,1
58,51,60,55,69,75,74,32,54,30,45,48,46,47,37,43,43,33,1,0.27,0.3,0.02,0.01,0,0.02,0,0.09,0.09,0.02,0,0.01,0.07,0.02,1,0.12,0.12,0.12,0.1,0.12,0.32,0.09,1
69,56,68,34,59,21,57,28,34,32,33,32,35,36,36,31,34,40,1,0.88,0.86,0.19,0.32,0.36,0.19,0.37,0.99,0.43,0.44,0.52,0.23,0.21,0.72,1,0.44,0.36,0.43,0.37,0.39,0.31,0.06,1
0,11,8,8,25,58,43,5,76,8,5,5,65,3,6,90,5,43,0,0,0,0,0,0,0,0.67,1,0,0,0,0,0,0,1,0.24,0.19,0.16,0.06,0.03,0.03,0,1
67,81,80,61,123,132,107,42,43,83,98,69,289,90,76,38,48,34,0.04,0.2,0.02,0.01,0.02,0.06,0.17,0.19,0.44,0.16,0.18,0.21,0.19,0.42,1,1,0.55,0.39,0.18,0.11,0.07,0.04,0,1
58,134,74,59,55,46,44,71,17,30,18,9,9,0,156,31,16,42,0.31,0.71,0.01,0.02,0.2,0.38,0.87,1,0.32,0.24,0.08,0.32,0.33,0.3,0.29,1,0.4,0.3,0.26,0.24,0.13,0.02,0,1
61,72,76,69,58,53,47,35,34,44,32,41,32,35,31,40,37,41,1,0.04,0.09,0,0,0,0,0,0,0.01,0.01,0,0,0,0,1,0.18,0.14,0.13,0.07,0.03,0.04,0,1
22,18,8,59,74,79,45,0,9,29,14,74,44,40,66,43,18,29,0.32,1,0.21,0.3,0.33,0.29,0.35,0.21,0.18,0.16,0.06,0.06,0.14,0.42,0.49,1,0.48,0.34,0.28,0.14,0.11,0.07,0.04,1
28,20,21,77,172,161,113,85,59,102,81,110,73,77,79,87,63,40,0.28,0.3,0.2,0.21,0.15,0.04,0.03,0.02,1,0.08,0,0,0,0.01,0,1,0.22,0.42,0.46,0.11,0.15,0.14,0.04,1
17,27,22,25,18,23,0,21,7,20,23,15,13,20,0,20,6,9,0.73,0.7,1,0.38,0.44,0.45,0.29,0.12,0.3,0.34,0.07,0.03,0.07,0.05,0.09,1,0.33,0.13,0.09,0.04,0.04,0.01,0,1
62,72,63,67,70,55,75,46,50,42,76,56,22,24,45,39,49,25,0.01,1,0,0,0.01,0.04,0.03,0.02,0.01,0.02,0.08,0.06,0.08,0.07,0.08,1,0.38,0.24,0.19,0.13,0.11,0.05,0,1
73,51,141,11,4,42,32,36,31,1,1,52,53,69,4,3,32,36,0.1,1,0.03,0,0,0,0,0.01,0.28,1,0.16,0.22,0.33,0.26,0,1,0.34,0.42,0.32,0.35,0.26,0.04,0.01,1
48,28,54,31,38,27,20,8,15,14,49,32,10,14,26,24,39,44,1,0,0,0,0.03,0.03,0.02,0.03,0.04,0.04,0.04,0.2,0.3,0.3,0.32,1,0.39,0.32,0.3,0.24,0.22,0.15,0.03,1
60,30,21,24,53,34,68,4,11,20,25,33,16,32,39,52,25,41,0.86,1,0.53,0.4,0.2,0.16,0.24,0.15,0.21,0.37,0.82,0.79,0.64,0.9,0.66,1,0.27,0.14,0.09,0.07,0.04,0.01,0,1
133,154,189,141,152,129,151,81,81,122,62,128,111,104,138,96,83,88,1,0.24,0.13,0.11,0.22,0.25,0.21,0.13,0.35,0.22,0.14,0.04,0.04,0.04,0.04,1,0.33,0.19,0.18,0.14,0.12,0.09,0.03,1
107,53,47,59,72,71,117,34,71,37,73,76,159,40,66,61,42,79,0.65,1,0.19,0.23,0.13,0.19,0.16,0.09,0.13,0.13,0.07,0.13,0.09,0.05,0.14,1,0.35,0.35,0.45,0.28,0.32,0.19,0.02,1
180,219,190,202,186,153,189,114,155,140,110,101,125,112,124,131,138,125,0.26,1,0.42,0.31,0.33,0.39,0.59,0.26,0.92,0.3,0.17,0.12,0.12,0.14,0.11,1,0.52,0.51,0.46,0.23,0.18,0.11,0.02,1
49,32,38,34,12,40,20,22,18,21,23,20,21,21,21,21,22,22,0.02,0.1,0.33,0.64,0.38,0.71,0.37,0.33,1,0.02,0.03,0.03,0.02,0.02,0.03,1,0.17,0.2,0.34,0.07,0.1,0.14,0.03,1
5,10,4,9,12,4,3,2,5,1,2,2,9,10,3,3,12,0,0.03,0.09,0.01,0.03,0.07,0.02,0.04,0.03,0.67,1,0.3,0.23,0.2,0.15,0.14,1,0.3,0.2,0.17,0.1,0.05,0.04,0.02,1
11,27,40,155,93,70,94,41,29,36,35,47,55,36,38,26,30,38,0,0.49,0.48,0.34,0.12,0.12,0.77,0.65,1,0.22,0.13,0.11,0.11,0.15,0.15,1,0.39,0.22,0.12,0.05,0.02,0.01,0,1
8,18,22,23,18,17,0,0,0,17,16,43,25,20,16,15,0,0,1,0,0,0,0,0,0,0,0.03,0.97,0,0,0,0,0,1,0.06,0.04,0.08,0.03,0.06,0.03,0.01,1
11,8,24,3,3,0,0,6,6,9,5,4,8,5,5,3,8,2,1,0.89,0.33,0.05,0.27,0.1,0.14,0.02,0.2,0.05,0.41,0.26,0.13,0.07,0.08,1,0.32,0.42,0.18,0.11,0.08,0.01,0,1
105,111,126,125,97,122,131,76,65,93,75,148,93,113,60,32,31,3,0.11,1,0.39,0.33,0.2,0.14,0.14,0.12,0.12,0.09,0.12,0.14,0.09,0.11,0.09,1,0.33,0.17,0.09,0.04,0.02,0,0,1
3,4,30,8,17,49,23,31,27,13,16,9,7,8,21,15,35,20,0.46,0.56,0,0,0,0,0,0.01,1,0.01,0,0,0,0,0,1,0.29,0.18,0.37,0.19,0.2,0.3,0.35,1
0,7,7,5,10,0,0,3,6,2,3,5,3,4,3,3,2,2,0,0,0.6,0.4,0,0,0,0,1,0,0,0,0,0,0,1,0.25,0.34,0.05,0.07,0.04,0.01,0.01,1
113,98,98,144,139,102,149,95,31,69,92,84,69,76,65,73,81,71,0.08,0.05,0.02,0.04,0.22,0.53,1,0.93,0.31,0.05,0.06,0.15,0.2,0.39,0.32,1,0.48,0.42,0.28,0.2,0.06,0,0,1
246,5,14,11,13,4,5,30,38,34,45,31,33,26,29,22,55,9,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.11,1,1,0.63,0.38,0.09,0.06,0.01,0,0,1
142,126,122,119,126,112,124,91,78,38,213,67,105,78,90,96,82,88,1,0.53,0.43,0.29,0.29,0.29,0.46,0.85,0.76,0.39,0.32,0.32,0.25,0.22,0.32,1,0.32,0.17,0.09,0.05,0.04,0.04,0.01,1
27,45,53,0,128,0,0,12,15,14,20,16,15,13,15,11,9,8,0.03,0.99,1,0.27,0.24,0.25,0.37,0.49,0.52,0.11,0.07,0.07,0.04,0.13,0.02,1,0.12,0.03,0.02,0,0,0,0,1
27,41,26,130,174,153,231,36,50,58,87,55,85,74,46,24,21,45,0.03,0.11,0.39,0.15,0.03,0.07,0.19,0.07,1,0.06,0.05,0.04,0.04,0.01,0.07,1,0.3,0.23,0.17,0.08,0.18,0.17,0.03,1
63,55,73,45,58,39,32,0,0,0,0,100,88,45,64,34,59,45,0.56,0.5,0,0,0,0,0,0.01,0.01,0.05,0.08,0.15,0.19,0.24,1,1,0.27,0.34,0.08,0.02,0.02,0.03,0.03,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.03,0.04,0.05,0.1,0.3,0.48,1,0.53,0.18,0.12,0.09,0.17,0.03,0,1,0.37,0.3,0.26,0.12,0.1,0.07,0.03,1
157,165,164,160,141,159,159,146,110,102,109,84,83,83,81,79,94,140,0.51,0.15,0.15,0.12,0.12,0.1,0.16,0.13,1,0.31,0.08,0.03,0.02,0.04,0.03,0.59,0.34,0.27,1,0.49,0.05,0.01,0.01,1
8,15,24,43,42,64,44,27,29,38,48,28,35,25,0,0,30,6,1,0,0,0.01,0.08,0.11,0.02,0.06,0.05,0.07,0.08,0.01,0,0,0,1,0.3,0.15,0.17,0.07,0.07,0.09,0.04,1
23,3,26,81,47,36,21,33,28,32,13,26,23,13,23,28,32,10,0,0.06,1,0.58,0.28,0.06,0.04,0.06,0.22,0.04,0.02,0,0,0.07,0.18,1,0.48,0.25,0.16,0.04,0.02,0.02,0.01,1
9,13,5,38,40,49,28,8,2,4,4,9,11,23,44,38,10,0,0.47,0.44,0.11,0.08,0.04,0.03,0.04,0.05,0.57,1,0.11,0.12,0.16,0.1,0.12,1,0.42,0.26,0.25,0.14,0.12,0.07,0.01,1
131,109,107,84,114,100,94,92,88,97,115,81,62,83,80,35,60,31,0,0,0,0.01,0.05,0.5,1,0.17,0.19,0.17,0.17,0.16,0.16,0.08,0.08,1,0.52,0.52,0.37,0.19,0.07,0.01,0,1
14,21,50,57,62,24,0,0,0,15,13,65,35,59,27,7,0,0,1,0.05,0.02,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,0.01,0.01,0,0,0,0,1
74,97,78,101,85,61,19,47,5,44,81,144,111,88,44,26,14,13,1,0.59,0.4,0.17,0.1,0.05,0.16,0.03,0.02,0.05,0.03,0.03,0,0.1,0.01,1,0.13,0.06,0.05,0.03,0.03,0.03,0.01,1
26,44,24,131,174,153,232,25,51,57,91,56,85,76,46,25,22,44,0.02,0.15,0.38,0.14,0.03,0.08,0.19,0.09,1,0.06,0.04,0.04,0.04,0.01,0.08,1,0.3,0.23,0.17,0.08,0.18,0.16,0.03,1
56,89,51,7,2,2,1,12,7,22,21,24,32,27,34,12,0,0,1,0.59,0.11,0.06,0.06,0.1,0.11,0.09,0.11,0.12,0.08,0.08,0.09,0.08,0.05,1,0.07,0.04,0.02,0.01,0.01,0,0,1
5,12,14,17,8,4,6,10,7,6,2,2,10,2,2,2,7,7,1,0,0,0.01,0,0,0.07,0.08,0.16,0.78,0.02,0.02,0,0.01,0.01,1,0.17,0.19,0.18,0.13,0.13,0.05,0.01,1
12,29,41,51,60,41,46,74,81,95,88,2,4,3,0,0,1,0,0.07,1,0.53,0.68,0.28,0.36,0.02,0.1,0.46,0.07,0.2,0.39,0.09,0.12,0.1,1,0.29,0.18,0.14,0.12,0.08,0.02,0,1
22,23,40,48,94,55,55,46,24,15,48,14,23,66,65,47,40,28,1,0,0,0,0.04,0.03,0.03,0.03,0.03,0.01,0.01,0.01,0,0.21,0.01,1,0.39,0.25,0.24,0.13,0.12,0.11,0.07,1
32,40,32,22,26,14,1,1,6,4,7,27,45,33,0,0,3,4,1,0.34,0.12,0.09,0.06,0.09,0.19,0.38,0.65,0.06,0.01,0.01,0.02,0.09,0.1,1,0.14,0.04,0.04,0.01,0.01,0.01,0,1
62,78,88,62,127,80,89,62,55,71,29,32,46,56,53,44,35,66,1,0,0,0,0.03,0.06,0.26,0.23,0.39,0.82,0.25,0.24,0.18,0.48,0.92,1,0.23,0.26,0.25,0.11,0.08,0.04,0.01,1
67,37,45,39,56,19,21,1,23,30,43,16,23,11,40,96,31,6,0.02,1,0.68,0.74,0.19,0.15,0.14,0.11,0.15,0.19,0.25,0.31,0.21,0.09,0.06,1,0.42,0.21,0.15,0.09,0.09,0.04,0.01,1
26,31,36,54,2,0,0,20,18,13,14,6,9,11,14,28,19,10,0.36,0.82,1,0.19,0.16,0.16,0.9,0.31,0.43,0.1,0.24,0.18,0.12,0.06,0.08,1,0.33,0.29,0.4,0.23,0.29,0.19,0.02,1
68,81,96,45,61,27,32,22,27,22,69,91,63,44,30,27,24,28,0.02,0.04,0.04,0.12,0.47,0.56,0.06,0.06,1,0.42,0.33,0.27,0.38,0.01,0,1,0.42,0.47,0.35,0.21,0.22,0.09,0.01,1
90,121,133,114,141,138,111,95,81,112,97,80,72,32,53,46,58,85,0.35,1,0.3,0.52,0.46,0.54,0.52,0.68,0.4,0.45,0.21,0.34,0.74,0.84,0.38,1,0.44,0.41,0.48,0.27,0.11,0.04,0.03,1
202,39,84,52,78,88,131,117,81,45,63,43,43,59,59,66,108,80,0,0,0.08,1,0.1,0.11,0.12,0.11,0.14,0.16,0.14,0.12,0.07,0.08,0.07,1,0.38,0.44,0.39,0.36,0.26,0.06,0,1
43,34,44,34,37,34,32,25,18,21,28,34,17,33,31,19,32,24,1,0.54,0.04,0.02,0.02,0,0.01,0.01,0.12,0.37,0.19,0.04,0.14,0.17,0.04,1,0.16,0.13,0.29,0.21,0.13,0.06,0.02,1
3,4,1,1,0,8,9,0,0,0,2,4,59,2,7,3,0,0,0.46,1,0,0,0,0,0,0.02,0.2,0.54,0.76,0.87,0.2,0.32,0,1,0.34,0.33,0.24,0.09,0.01,0.01,0.01,1
0,0,0,0,0,2,5,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.07,0.02,0.07,0.03,0.61,0.35,0.03,1
90,80,93,53,15,3,0,7,18,23,45,41,39,50,52,41,27,21,1,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0,0.01,0,0.01,0.01,0.02,0.01,1,0.16,0.09,0.09,0.05,0.04,0.04,0.01,1
11,151,153,182,131,80,99,65,76,84,77,85,75,95,64,83,51,48,1,0.04,0.59,0.01,0.01,0.01,0.08,0.01,0.06,0.02,0.01,0,0.01,0.01,0,1,0.37,0.2,0.21,0.17,0.21,0.22,0.11,1
147,163,154,157,167,127,154,57,94,96,111,104,65,105,92,110,94,109,0.44,0.5,1,0.28,0.3,0.28,0.15,0.34,0.19,0.22,0.18,0.14,0.17,0.24,0.22,1,0.37,0.31,0.39,0.27,0.24,0.17,0.05,1
162,202,210,196,190,190,198,133,123,103,113,100,141,147,127,132,133,127,0.52,1,0.56,0.36,0.27,0.2,0.34,0.62,0.33,0.19,0.16,0.11,0.1,0.19,0.16,1,0.4,0.33,0.32,0.23,0.19,0.11,0.02,1
31,31,43,61,63,36,42,0,0,8,2,82,64,89,100,46,25,13,0.78,1,0.15,0.27,0.19,0.44,0.62,0.23,0.52,0.48,0.43,0.25,0.1,0.13,0.54,1,0.08,0.04,0.02,0.01,0,0,0,1
0,8,30,40,33,8,1,0,0,0,1,2,16,27,13,16,15,6,0,1,0,0.04,0.17,0.18,0.21,0.06,0.12,0.12,0.05,0.06,0.11,0.01,0.01,1,0.35,0.29,0.17,0.11,0.05,0.02,0.01,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.05,0.05,0.1,0.07,0.05,0.02,0,1
17,16,6,18,10,17,18,10,34,9,10,10,10,10,10,10,10,10,0,0.15,0.34,0.28,0.12,0.05,0.05,0.01,1,0,0,0,0,0,0,1,0.06,0.02,0.08,0.02,0.03,0.03,0.02,1
120,60,32,91,64,98,84,97,65,103,96,48,63,36,75,61,95,49,0.18,0.21,0.76,1,0.35,0.36,0.15,0.07,0.86,0.06,0.62,0.17,0.06,0.12,0.16,1,0.32,0.24,0.28,0.12,0.11,0.1,0.03,1
15,14,13,11,18,21,26,11,35,8,10,4,0,4,38,6,12,8,1,0,0,0,0,0,0.15,0,0.21,0.02,0,0,0,0,0,1,0.18,0.08,0.14,0.07,0.14,0.18,0.07,1
44,62,72,87,38,63,73,4,3,21,25,34,75,78,90,113,74,43,0,0.02,0.06,0.11,0.1,0.07,0.07,1,0.32,0.03,0.06,0.05,0.07,0.14,0.22,1,0.36,0.32,0.27,0.12,0.06,0.02,0,1
51,54,59,68,32,42,42,47,24,15,42,40,35,42,42,35,52,34,1,0.01,0.01,0.02,0.05,0.07,0.06,0.02,0.02,0.03,0.04,0.07,0.13,0.11,0.14,1,0.49,0.52,0.43,0.25,0.21,0.15,0.05,1
0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,2,3,0.97,0,0.41,0,0.41,0.02,1,0.09,0,0,0,0,0,0,0,1,0.38,0.34,0.22,0.12,0.1,0.05,0.07,1
87,137,250,241,234,101,77,94,108,103,91,34,131,147,67,170,59,53,0,1,0,0,0,0,0.01,0.05,0.16,0.29,0.17,0.16,0.13,0.1,0.09,1,0.36,0.1,0.05,0.07,0.23,0.3,0.04,1
117,37,45,51,37,97,62,44,61,36,36,38,27,30,39,30,25,21,1,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0.04,0.06,1,0.27,0.2,0.36,0.15,0.14,0.19,0.12,1
8,5,39,10,15,5,14,3,15,3,3,8,3,4,4,2,3,2,0,0,0.04,0.17,0.77,0.92,0.15,0.03,0.1,0.07,1,0.02,0.01,0.02,0.01,1,0.42,0.23,0.16,0.06,0.07,0.07,0.01,1
32,29,32,23,21,21,10,50,27,26,23,20,13,0,0,0,0,0,0,0.03,0.19,0.22,1,0.62,0.44,0.19,0.24,0.29,0.34,0.31,0.19,0.21,0.09,1,0.14,0.15,0.25,0.22,0.16,0.1,0.01,1
60,65,76,85,77,97,58,78,53,32,21,38,50,26,55,30,65,59,0.84,1,0.19,0.03,0.15,0.08,0.09,0.1,0.08,0.17,0.48,0.41,0.2,0.27,0.15,1,0.42,0.38,0.34,0.3,0.3,0.14,0.01,1
95,97,114,104,125,105,69,93,81,58,90,89,78,68,87,76,42,75,1,0.14,0.15,0.09,0.11,0.08,0.08,0.08,0.09,0.07,0.08,0.12,0.11,0.08,0.12,1,0.46,0.25,0.19,0.12,0.08,0.06,0.02,1
97,58,68,115,120,91,70,45,23,131,88,71,22,46,16,70,27,17,1,0.74,0.18,0.59,0.57,0.28,0.18,0.13,0.11,0.38,0.26,0.11,0.04,0.06,0.22,1,0.29,0.25,0.18,0.12,0.09,0.09,0.07,1
